username,password,first_name,last_name,telephone1,telephone2,email,machine_id,brigade_name,date_of_birth,date_start_work
iatsenkodan,123456,Левко,Овчаренко,7589549,892-09-33,iatsenkodan@ukr.net,40,40,1989-03-19,2012-02-27
leon38,123456,Назар,Івасюк,+38022126-48-14,+38(086)596-30-51,leon38@hrytsenko.com,41,41,1983-05-04,2006-08-19
edutka,123456,Демʼян,Затовканюк,7275495,+38076446-89-43,edutka@i.ua,42,42,1993-08-04,2006-06-03
myron09,123456,Павло,Гузь,+38(090)620-88-01,+38(039)803-26-80,myron09@devdiuk-lytvyn.info,43,43,1984-11-15,2017-02-10
kamillahutsuliak,123456,Кирило,Дробаха,+38(058)856-43-12,+38(002)425-63-13,kamillahutsuliak@yatseniuk-sachenko.ua,44,44,1986-06-17,2010-08-30
mykhailo94,123456,Пилип,Ґалаґан,+38017611-30-87,9230122,mykhailo94@gov.ua,45,45,1998-10-30,2007-08-31
babiakmyron,123456,Олег,Фартушняк,+380657987961,+38057653-08-65,babiakmyron@ukr.net,46,46,1997-10-12,2007-07-12
schumachenko,123456,Юхим,Теличенко,198-72-80,+38(073)811-78-90,schumachenko@datsenko-oliinyk.укр,47,47,1990-04-25,2016-05-20
nataliia62,123456,Демид,Стус,+380899432828,+38015820-13-85,nataliia62@mykytiuk-stets.org,48,48,1998-03-08,2004-08-07
khomykmariana,123456,Валентин,Товстоліс,090813-73-18,005612-48-93,khomykmariana@gov.ua,49,49,1995-04-03,2019-12-03
wderhach,123456,Лукʼян,Гайворонський,+380822104210,+38035518-74-89,wderhach@meta.ua,50,50,1982-01-25,2008-06-28
ustenkoborys,123456,Хома,Гуцуляк,353-71-98,6065469,ustenkoborys@ukr.net,51,51,1994-04-17,2002-05-29
banduraanzhela,123456,Данило,Прокопович,0735766967,+380152553125,banduraanzhela@komar-lavrenko.укр,52,52,1990-12-13,2006-12-23
maksymtverdokhlib,123456,Семен,Абраменко,145-74-40,566-04-63,maksymtverdokhlib@email.ua,53,53,1986-09-02,2007-01-31
zakharenkohavrylo,123456,Віталій,Алексеєнко,+380300429621,+380824582248,zakharenkohavrylo@meta.ua,54,54,1992-06-03,2005-03-26
zakharchenkovenedykt,123456,Варфоломій,Вдовенко,+38(001)234-11-99,0055240,zakharchenkovenedykt@lemeshko-vashchenko.укр,55,55,1980-04-13,2001-11-11
fomenkolevko,123456,Франц,Левченко,981-68-25,028307-12-48,fomenkolevko@gov.ua,56,56,1992-04-25,2013-05-30
vasylevychmykolai,123456,Ярослав,Артимишин,+38(043)001-88-64,369-47-56,vasylevychmykolai@meta.ua,57,57,1991-09-15,2010-10-19
nnikoliuk,123456,Теодор,Гаєвський,+38(081)823-43-27,+38033086-74-12,nnikoliuk@karpenko.com,58,58,1992-02-22,2020-03-10
olehakulenko,123456,Антон,Гайдай,096206-99-12,+38087041-03-11,olehakulenko@gmail.com,59,59,1982-09-11,2016-01-18
neporozhniivalentyn,123456,Ярослав,Михалюк,+38040414-25-74,+38038119-95-42,neporozhniivalentyn@davymuka.ua,60,60,1983-10-24,2012-08-09
bprymachenko,123456,Мирослав,Андрієвич,0758506899,+38045971-83-73,bprymachenko@gerus.укр,61,61,1985-02-10,2016-06-12
orysialubenets,123456,Федір,Барабаш,2525502,0069377912,orysialubenets@gmail.com,62,62,1992-02-27,2018-05-07
bohdanbaranyk,123456,Азар,Гайденко,059951-88-82,362-96-47,bohdanbaranyk@email.ua,63,63,1990-02-02,2006-05-02
sirchenkoanzhela,123456,Спас,Хмара,+38040288-97-71,+38000044-61-79,sirchenkoanzhela@zaika-tkachenko.net,64,64,1992-09-29,2014-09-24
radchenkoliza,123456,Азар,Ейбоженко,+38099024-82-14,0673420088,radchenkoliza@radchenko.info,65,65,1984-11-12,2012-08-03
trokhymdatsiuk,123456,Франц,Рубан,+38018529-96-96,0782022,trokhymdatsiuk@demianenko.укр,66,66,1991-11-01,2018-10-02
vitalii69,123456,Георгій,Гунько,025633-90-75,+38025156-39-39,vitalii69@gov.ua,67,67,1988-09-03,2015-04-04
xtsisyk,123456,Мирон,Дзиндра,2198828,+38014151-39-07,xtsisyk@huz-atroshchenko.info,68,68,1993-04-25,2020-04-16
solomon83,123456,Степан,Тарасенко,0334212,+38(011)131-10-88,solomon83@ostapchuk.org,69,69,1997-04-08,2017-03-11
vasylynababych,123456,Пармен,Пелех,7033172,079458-32-57,vasylynababych@gov.ua,70,70,1981-02-14,2003-12-28
eshchors,123456,Ярема,Вишняк,+38076842-44-66,988-42-06,eshchors@ukr.net,71,71,1981-09-08,2009-11-29
eibozhenkoostap,123456,Едуард,Ґалаґан,+38(099)666-07-81,198-72-19,eibozhenkoostap@yakymchuk.укр,72,72,1992-06-15,2001-02-12
leontii93,123456,Давид,Дашенко,071694-29-91,0355149194,leontii93@gmail.com,73,73,1989-01-08,2009-08-05
korbutopanas,123456,Арсен,Зінкевич,+380661918815,+38079841-41-53,korbutopanas@nosenko.com,74,74,1987-06-13,2014-05-16
ibalaban,123456,Лукʼян,Онуфрієнко,+38(077)518-62-92,072659-77-27,ibalaban@gmail.com,75,75,1982-12-13,2008-02-07
ffomenko,123456,Григорій,Самойленко,1023194,+38008458-15-07,ffomenko@ukr.net,76,76,1996-03-12,2017-06-29
levkoieresko,123456,Микита,Забарний,4193565,903-59-16,levkoieresko@viter.com,77,77,1983-04-07,2010-10-03
ivasiukanita,123456,Богодар,Венгринович,0387043306,027926-82-12,ivasiukanita@gov.ua,78,78,1997-07-14,2009-05-23
liliia04,123456,Ярема,Забашта,4986675,+38003011-16-09,liliia04@deineko.укр,79,79,1986-03-19,2010-06-26
albertsvystun,123456,Пантелеймон,Луценко,+380989759735,+38053073-58-97,albertsvystun@pushkar.org,80,80,1990-05-03,2019-03-11
volodymyriaremko,123456,Адам,Василечко,+38(047)158-93-49,009878-65-73,volodymyriaremko@email.ua,81,81,1991-01-10,2016-09-26
feofanumanets,123456,Онисим,Скирда,309-63-13,+380474333987,feofanumanets@gov.ua,82,82,1993-06-20,2017-08-28
myroslavbabarychenko,123456,Леопольд,Ніколюк,+38(051)278-48-13,069417-65-22,myroslavbabarychenko@ukr.net,83,83,1986-01-25,2016-02-10
erikaandriievych,123456,Семен,Сірко,+380644310451,944-41-19,erikaandriievych@shtokalo-averchenko.net,84,84,1997-10-20,2005-04-27
hanna82,123456,Юхим,Дейнеко,055764-16-22,+38(064)490-94-28,hanna82@kylymnyk.net,85,85,1983-02-16,2017-02-20
sheremetanastasiia,123456,Вʼячеслав,Даценко,+38094187-95-81,9362025,sheremetanastasiia@sirko.com,86,86,1980-05-05,2010-10-17
